3.0.00.00.00	Despesas Correntes
4.5.95.93.00	Indenizações e Restituições
4.5.95.99.00	A classificar
4.5.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
4.5.96.61.00	Aquisição de imóveis
4.5.96.61.01	Aquisição de Imóveis de Domínio Público
4.5.96.61.02	Aquisição de Imóveis de Domínio Patrimonial
4.5.96.61.03	Aquisição de Imóveis de Natureza Industrial
4.5.96.67.00	Depósitos Compulsórios
4.5.96.91.00	Sentenças Judiciais
4.5.96.92.00	Despesas de Exercícios Anteriores
4.5.96.93.00	Indenizações e Restituições
4.5.96.99.00	A classificar
4.5.99.00.00	A Definir
4.5.99.99.00	A Classificar
4.6.00.00.00	Amortização da Dívida 
4.6.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
4.6.71.70.00	Rateio pela Participação em Consórcio Público
4.6.71.99.00	A Classificar
4.6.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
4.6.73.70.00	Rateio pela Participação em Consórcio Público
4.6.73.99.00	A classificar
4.6.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
4.6.74.70.00	Rateio pela Participação em Consórcio Público
4.6.74.99.00	A classificar
4.6.90.00.00	Aplicações Diretas
4.6.90.71.00	Principal da Dívida Contratual Resgatado
4.6.90.71.01	Principal da Dívida por Contrato - Interna
4.6.90.71.02	Principal da Dívida por Contrato - Externa
4.6.90.72.00	Principal da Dívida Mobiliária Resgatado
4.6.90.72.01	Principal da Dívida Mobiliária - Interna
4.6.90.72.02	Principal da Dívida Mobiliária - Externa
4.6.90.73.00	Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.90.73.01	Correção Monetária ou Cambial da Dívida Contratual - Interna
4.6.90.73.02	Correção Monetária ou Cambial da Dívida Contratual - Externa
4.6.90.74.00	Correção Monetária ou Cambial da Dívida Mobiliária Resgatada
4.6.90.74.01	Correção Monetária ou Cambial da Dívida Mobiliária - Interna
4.6.90.74.02	Correção Monetária ou Cambial da Dívida Mobiliária - Externa
4.6.90.75.00	Correção Monetária da Dívida de Operação de Crédito por Antecipação da Receita
4.6.90.76.00	Principal Corrigido da Dívida Mobiliária Refinanciado
4.6.90.76.01	Principal Corrigido da Dívida Mobiliária - Interna
4.6.90.76.02	Principal Corrigido da Dívida Mobiliária - Externa
4.6.90.77.00	Principal Corrigido da Dívida Contratual Refinanciado
4.6.90.77.01	Principal Corrigido da Dívida Contratual - Interna
4.6.90.77.02	Principal Corrigido da Dívida Contratual - Externa
4.6.90.91.00	Sentenças Judiciais
4.6.90.92.00	Despesas de Exercícios Anteriores
4.6.90.93.00	Indenizações e Restituições
4.6.90.99.00	A Classificar
4.6.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
4.6.91.71.00	Principal da Dívida Contratual Resgatado
4.6.91.72.00	Principal da Dívida Mobiliária Resgatado
4.6.91.73.00	Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.91.74.00	Correção Monetária ou Cambial da Dívida Mobiliária Resgatada
4.6.91.75.00	Correção Monetária da Dívida de Operação de Crédito por Antecipação da Receita
4.6.91.76.00	Principal Corrigido da Dívida Mobiliária Refinanciado
4.6.91.77.00	Principal Corrigido da Dívida Contratual Refinanciado
4.6.91.91.00	Sentenças Judiciais
4.6.91.92.00	Despesas de Exercícios Anteriores
4.6.91.93.00	Indenizações e Restituições
4.6.91.99.00	A Classificar
4.6.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar  n° 141, de 2012 
4.6.95.71.00	Principal da Dívida Contratual Resgatado
4.6.95.73.00	Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.95.77.00	Principal Corrigido da Dívida Contratual Refinanciado
4.6.95.91.00	Sentenças Judiciais
4.6.95.92.00	Despesas de Exercícios Anteriores
4.6.95.93.00	Indenizações e Restituições
4.6.95.99.00	A classificar
4.6.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
4.6.96.71.00	Principal da Dívida Contratual Resgatado
4.6.96.73.00	Correção Monetária ou Cambial da Dívida Contratual Resgatada
4.6.96.77.00	Principal Corrigido da Dívida Contratual Refinanciado
4.6.96.91.00	Sentenças Judiciais
4.6.96.92.00	Despesas de Exercícios Anteriores
4.6.96.93.00	Indenizações e Restituições
4.6.96.99.00	A classificar
4.6.99.00.00	A Definir
4.6.99.99.00	A Classificar
9.9.00.00.00	Reserva de Contingência ou Reserva do RPPS
9.9.99.00.00	Reserva de Contingência ou Reserva do RPPS
9.9.99.99.00	Reserva de Contingência ou Reserva do RPPS
9.9.99.99.99	Reserva de Contingência ou Reserva do RPPS
